image_index,latent_distance,original_log_likelihood,reconstruction_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference,recon_counterfactual_log_likelihood_difference,likelihood_ratio,recon_counterfactual_likelihood_ratio,original_realism_score,reconstruction_realism_score,counterfactual_realism_score,realism_score_difference,recon_counterfactual_realism_difference,original_class_recon,target_class,counterfactual_class_recon,original_prob_class_0,original_prob_class_1,original_prob_class_2,original_prob_class_3,original_prob_class_4,original_prob_class_5,original_prob_class_6,original_prob_class_7,original_prob_class_8,original_prob_class_9,counterfactual_prob_class_0,counterfactual_prob_class_1,counterfactual_prob_class_2,counterfactual_prob_class_3,counterfactual_prob_class_4,counterfactual_prob_class_5,counterfactual_prob_class_6,counterfactual_prob_class_7,counterfactual_prob_class_8,counterfactual_prob_class_9
10,69.61308288574219,-83.31185150146484,-90.64586639404297,-92.15277862548828,8.840927124023438,1.5069122314453125,6911.39739345529,4.512774854756051,0.9866665005683899,0.9849939942359924,0.9849541187286377,0.0017123818397521973,3.987550735473633e-05,2,7,2,5.5926657e-12,6.4065193e-09,1.0,9.0172045e-12,9.730249e-12,1.1280573e-18,1.2888076e-11,3.5104725e-11,4.814138e-13,3.0065884e-17,6.5163786e-12,5.2927653e-06,0.9998553,6.164195e-05,3.6067178e-09,1.0735723e-15,4.9108525e-12,7.777906e-05,1.3269379e-10,2.3660864e-14
11,69.29984283447266,-88.60895538330078,-98.36358642578125,-122.94649505615234,34.33753967285156,24.582908630371094,817718836553887.4,47448399461.09153,0.9859738349914551,0.9821072220802307,0.9729078412055969,0.013065993785858154,0.009199380874633789,8,4,4,1.0606276e-11,5.8240945e-10,1.7153787e-09,3.2442687e-10,7.812486e-11,8.6511354e-10,7.523552e-10,3.057917e-13,1.0,5.6247224e-10,5.0715986e-05,0.0066248644,0.024804724,3.44535e-06,0.9543974,4.9059093e-07,0.00027665772,6.0165726e-06,0.0137707405,6.493668e-05
12,65.42254638671875,-85.88705444335938,-96.61617279052734,-104.95418548583984,19.06713104248047,8.3380126953125,190875328.49184352,4179.774995793723,0.9865266680717468,0.9835597276687622,0.9803664088249207,0.006160259246826172,0.0031933188438415527,9,7,9,1.8055856e-15,8.218893e-19,1.9470806e-17,2.1887225e-14,1.06269e-09,8.196734e-17,8.942861e-25,4.352324e-09,1.956843e-09,1.0,7.78095e-10,4.1024798e-13,7.9791165e-12,1.2667616e-11,2.391944e-06,2.697944e-13,3.4092743e-19,0.00073525874,0.00075258,0.9985097
13,80.87390899658203,-91.77718353271484,-95.62531280517578,-121.18684387207031,29.40966033935547,25.56153106689453,5921792696601.298,126250146676.4074,0.9846767783164978,0.9833438992500305,0.9737919569015503,0.01088482141494751,0.009551942348480225,0,6,0,1.0,1.3319854e-15,7.1079136e-14,1.3426811e-18,1.988522e-18,1.4720406e-12,1.5076468e-13,7.7003325e-15,2.7546408e-14,2.2725071e-13,0.9999999,2.608168e-12,1.9650177e-10,1.0577955e-14,1.3683512e-14,3.4108973e-09,1.0129598e-07,9.582528e-14,9.535671e-10,2.431631e-09
14,72.13028717041016,-42.87730026245117,-55.888736724853516,-126.30833435058594,83.43103408813477,70.41959762573242,1.71252816947791e+36,3.826860812503247e+30,0.9941892623901367,0.9924941062927246,0.9701225757598877,0.024066686630249023,0.022371530532836914,1,3,3,2.8465067e-11,0.9999995,2.4851505e-11,5.7794535e-13,4.7095065e-07,6.383682e-09,4.6294865e-10,1.9035402e-09,2.421509e-08,1.418922e-10,1.7263807e-11,1.4823141e-05,5.027127e-10,0.9997358,1.1268609e-06,9.423433e-05,1.1999713e-11,9.3804214e-05,1.0719818e-06,5.925045e-05
15,77.1094970703125,-119.52005004882812,-126.79180908203125,-125.03128814697266,5.511238098144531,-1.7605209350585938,247.45731392504248,0.1719552629619753,0.9739530682563782,0.9691968560218811,0.9719935059547424,0.001959562301635742,-0.002796649932861328,2,6,2,5.058129e-07,6.9371935e-15,0.9999963,3.2548664e-07,4.247088e-08,9.965571e-13,7.412885e-15,7.244495e-11,2.8295374e-06,1.8129999e-10,3.703821e-07,4.8806293e-15,0.99999666,9.062371e-07,3.8583362e-10,3.5114453e-11,4.4473514e-10,2.524825e-13,2.056518e-06,3.5288956e-11
16,66.74010467529297,-111.06126403808594,-119.66683959960938,-115.22187042236328,4.160606384277344,-4.444969177246094,64.11038634585809,0.011737467806448658,0.9777791500091553,0.9730353951454163,0.9755386710166931,0.002240478992462158,-0.0025032758712768555,8,5,8,4.7589977e-11,1.2596895e-14,1.0438574e-10,4.829623e-13,4.939673e-07,1.0089583e-07,2.8294485e-12,6.4518282e-12,0.9999994,2.0811568e-09,6.487879e-06,2.1674956e-10,7.793214e-05,1.9987352e-09,0.00096795784,0.0009538457,2.9118292e-08,7.99703e-07,0.99773186,0.00026111852
17,73.13294982910156,-80.67880249023438,-94.03608703613281,-108.08089447021484,27.40209197998047,14.044807434082031,795384895704.5895,1257715.3692467469,0.9874931573867798,0.9841399192810059,0.9781318306922913,0.009361326694488525,0.0060080885887146,8,3,5,1.3284414e-10,2.6506909e-12,3.979555e-11,1.0573556e-10,7.542352e-15,9.041416e-08,2.76575e-07,2.3057746e-18,0.99999964,3.10949e-10,3.828796e-09,3.116183e-08,5.70829e-11,0.15637726,1.9284874e-10,0.64658946,1.1381122e-05,1.7190002e-12,0.19699544,2.6421907e-05
18,80.44612884521484,-80.51608276367188,-88.44852447509766,-91.84557342529297,11.329490661621094,3.3970489501953125,83240.61440615715,29.875804841657324,0.987456738948822,0.9851320385932922,0.9848431348800659,0.0026136040687561035,0.00028890371322631836,9,4,4,2.308199e-15,7.489731e-18,3.7163435e-15,6.786065e-11,9.918788e-13,5.1829218e-14,2.117696e-21,3.426209e-12,8.638331e-12,1.0,2.7377584e-10,8.329796e-08,5.781112e-08,3.0629906e-08,0.46727476,2.2103002e-08,2.7247813e-14,0.17207421,9.455614e-07,0.36064985
19,0.2697393596172333,-89.77418518066406,-94.4039077758789,-95.15359497070312,5.3794097900390625,0.7496871948242188,216.89422450842676,2.1163379116106835,0.985296905040741,0.9837393164634705,0.9835240244865417,0.0017728805541992188,0.00021529197692871094,6,1,6,1.0099675e-15,5.4757754e-20,4.322119e-21,5.2541227e-20,2.132027e-21,1.84607e-13,1.0,2.2236296e-30,8.642171e-16,7.10181e-23,1.0308699e-15,5.511296e-20,4.3983293e-21,5.323159e-20,2.1283377e-21,1.853327e-13,1.0,2.2695636e-30,8.849949e-16,7.3615944e-23
20,84.26570892333984,-93.84253692626953,-105.03439331054688,-147.9326629638672,54.090126037597656,42.89826965332031,3.097727873532712e+23,4.2705301627480576e+18,0.9840942025184631,0.9802990555763245,0.9602299332618713,0.023864269256591797,0.020069122314453125,2,3,2,7.473684e-20,2.4578664e-19,1.0,5.847273e-16,1.16238886e-17,1.1341219e-29,3.4642067e-25,1.5204514e-13,3.9654658e-17,2.2228382e-25,1.2954575e-17,8.845952e-11,0.9999424,4.7860533e-05,8.7711206e-11,5.894218e-21,2.7051055e-20,9.735659e-06,9.548573e-10,7.391547e-19
21,70.89012908935547,-92.96971130371094,-108.19847869873047,-131.1142578125,38.14454650878906,22.91577911376953,3.681002085240885e+16,8957698022.292517,0.9842450022697449,0.9789310693740845,0.9661712646484375,0.018073737621307373,0.012759804725646973,9,8,9,7.579909e-15,5.7484326e-24,5.92971e-16,2.1460766e-15,3.5522613e-10,2.6093327e-12,1.2669774e-21,1.7210063e-12,5.3535874e-11,1.0,7.1213647e-12,5.498882e-16,5.6610102e-14,1.8243138e-10,2.8096076e-06,0.0055609583,1.4155804e-14,8.413423e-08,1.3323672e-07,0.9944359
22,0.3121486306190491,-83.47047424316406,-89.43264770507812,-89.94768524169922,6.477210998535156,0.5150375366210938,650.1551316787957,1.6737013257109108,0.9871789216995239,0.9854182004928589,0.985501229763031,0.00167769193649292,-8.302927017211914e-05,3,4,3,9.840208e-21,6.8286776e-15,2.3786106e-14,1.0,1.2887827e-19,7.098586e-12,1.830124e-18,5.067775e-15,6.3147717e-15,1.7723906e-17,9.6052956e-21,6.8851768e-15,2.3162622e-14,1.0,1.2761317e-19,7.1335086e-12,1.81153e-18,5.0277428e-15,6.2702685e-15,1.7497049e-17
23,70.19975280761719,-104.13579559326172,-110.83919525146484,-142.98606872558594,38.85027313232422,32.146873474121094,7.455199022848336e+16,91455485642398.08,0.9803287982940674,0.9779075384140015,0.9580338001251221,0.022294998168945312,0.019873738288879395,2,3,2,1.2044145e-14,3.0906114e-10,1.0,4.8959808e-12,2.1944963e-13,5.735187e-22,6.7565777e-19,1.3044922e-11,1.03536485e-11,8.929901e-19,6.293719e-11,0.00027298083,0.6839534,0.31569558,2.8516157e-08,1.8387944e-11,1.2618314e-13,1.9330222e-05,5.869151e-05,2.5970593e-12
24,65.64266204833984,-93.2003402709961,-99.91202545166016,-117.27909851074219,24.078758239746094,17.36707305908203,28659712839.69278,34867755.85401789,0.9836235046386719,0.9817464351654053,0.9744858145713806,0.00913769006729126,0.007260620594024658,2,8,2,4.4723404e-14,2.603221e-10,1.0,2.369351e-10,1.6357153e-12,1.0341138e-18,2.0734247e-16,3.6424475e-15,6.229254e-10,3.5174324e-17,2.2144079e-13,7.0055484e-07,0.99928814,4.4415714e-07,6.5718864e-10,2.5314812e-13,6.336116e-13,1.5213177e-13,0.0007107487,3.6785237e-13
25,0.24201475083827972,-100.28565216064453,-109.64913177490234,-111.2463607788086,10.960708618164062,1.59722900390625,57567.22176729012,4.9393265890728975,0.981620728969574,0.9777016639709473,0.9770718216896057,0.004548907279968262,0.0006298422813415527,3,7,3,3.1236521e-24,1.9335514e-16,2.2083185e-17,1.0,2.586896e-22,2.591267e-14,1.1888174e-21,4.832844e-16,5.7674175e-14,9.281767e-19,3.179458e-24,1.9593906e-16,2.2534979e-17,1.0,2.654665e-22,2.6698589e-14,1.1913143e-21,4.9283696e-16,5.8547676e-14,9.733444e-19
26,77.02234649658203,-90.93125915527344,-101.03617095947266,-132.261962890625,41.33070373535156,31.225791931152344,8.906284529454455e+17,36407355020133.31,0.985025942325592,0.9816863536834717,0.9680837988853455,0.016942143440246582,0.01360255479812622,6,4,6,4.418603e-13,3.550743e-18,2.1241221e-19,5.154152e-19,3.1328911e-15,3.7743077e-14,1.0,6.92564e-22,2.1904513e-14,1.1418008e-22,6.243783e-12,5.8726106e-12,1.7667413e-16,1.2776661e-11,3.9572305e-09,5.977495e-08,0.9999999,5.049962e-15,1.2298778e-11,1.7607667e-16
27,0.2730017602443695,-133.75454711914062,-130.88990783691406,-131.19381713867188,-2.56072998046875,0.3039093017578125,0.07724833008436943,1.3551461411427626,0.965957522392273,0.9672054648399353,0.967359721660614,-0.0014021992683410645,-0.00015425682067871094,2,9,2,1.2603055e-14,1.3658909e-20,1.0,4.3253488e-15,2.7608567e-15,1.137164e-20,3.18929e-21,5.584897e-15,3.2469734e-14,5.445241e-19,1.2682342e-14,1.3699037e-20,1.0,4.323765e-15,2.8361998e-15,1.133967e-20,3.1529514e-21,5.7012657e-15,3.252428e-14,5.6682924e-19
28,0.2032133936882019,-74.65553283691406,-81.22575378417969,-81.60476684570312,6.9492340087890625,0.3790130615234375,1042.3509906088593,1.4608421164423624,0.9887767434120178,0.9877234697341919,0.9876734614372253,0.0011032819747924805,5.0008296966552734e-05,4,3,4,1.7405367e-26,8.9973684e-18,1.7990057e-23,2.3639975e-25,1.0,3.6503807e-20,2.438903e-22,1.5961964e-17,9.273702e-18,1.4929581e-17,1.7400987e-26,8.954807e-18,1.7976955e-23,2.3435078e-25,1.0,3.611846e-20,2.4343579e-22,1.5796597e-17,9.225645e-18,1.4829173e-17
29,0.3094480633735657,-68.20416259765625,-82.23768615722656,-82.11409759521484,13.909934997558594,-0.12358856201171875,1099026.1171362707,0.8837433716874351,0.989820122718811,0.9873107671737671,0.9873271584510803,0.002492964267730713,-1.6391277313232422e-05,4,6,4,2.176217e-22,5.6463047e-14,2.8687784e-15,6.5369123e-21,1.0,1.6673627e-20,2.777867e-21,7.196039e-13,2.604419e-13,1.3561525e-14,2.1716144e-22,5.607357e-14,2.9137772e-15,6.697064e-21,1.0,1.6439691e-20,2.7152472e-21,7.2462837e-13,2.6130568e-13,1.3845815e-14
30,0.22078704833984375,-103.6644058227539,-114.09577178955078,-114.75947570800781,11.095069885253906,0.6637039184570312,65845.7316150752,1.9419719355604839,0.9803588390350342,0.976740300655365,0.9760938286781311,0.004265010356903076,0.0006464719772338867,5,0,5,1.3773371e-23,4.977576e-21,2.5140085e-23,3.0715545e-13,1.0259869e-20,1.0,9.784363e-13,2.7439606e-24,2.8130875e-15,1.2231234e-16,1.378809e-23,4.9721673e-21,2.48877e-23,3.08683e-13,1.0244304e-20,1.0,9.69035e-13,2.7796754e-24,2.790014e-15,1.2477566e-16
31,70.24152374267578,-115.96752166748047,-131.3356475830078,-146.7101593017578,30.742637634277344,15.37451171875,22457317740780.26,4754070.320964166,0.9770855903625488,0.9658934473991394,0.9503623247146606,0.026723265647888184,0.01553112268447876,3,4,3,4.0519942e-07,1.461063e-12,1.6548325e-10,0.9999819,1.27205e-08,2.1242354e-06,3.2397724e-16,1.9402802e-07,2.1787077e-06,1.308139e-05,2.4860092e-05,2.3828772e-09,1.906301e-08,0.7751024,0.00080462365,0.00019205619,9.860158e-15,0.0033945325,6.0735942e-06,0.22047547
32,0.2898176610469818,-84.10420227050781,-90.11363220214844,-89.97034454345703,5.866142272949219,-0.14328765869140625,352.8850169844499,0.8665047754116972,0.9865026473999023,0.9853864908218384,0.9856019616127014,0.0009006857872009277,-0.0002154707908630371,7,0,7,3.9773425e-25,2.3480183e-17,1.0254193e-13,5.02497e-12,2.0204427e-13,4.789748e-24,5.257845e-30,1.0,1.830988e-20,1.2394404e-16,3.9468422e-25,2.3593674e-17,1.0226985e-13,5.0245003e-12,2.0173621e-13,4.7912287e-24,5.241744e-30,1.0,1.8232793e-20,1.233008e-16
33,0.2056209295988083,-96.56546783447266,-97.8665771484375,-97.2948226928711,0.7293548583984375,-0.5717544555664062,2.073742318586916,0.5645341193128572,0.9835257530212402,0.9836382865905762,0.9827204346656799,0.0008053183555603027,0.0009178519248962402,3,6,3,4.7141327e-20,2.1099637e-13,4.0372085e-15,1.0,4.1300533e-20,4.595753e-12,4.5247778e-20,6.6055626e-16,1.0618182e-14,1.7717224e-16,4.8105228e-20,2.119139e-13,4.126379e-15,1.0,4.1682297e-20,4.5796e-12,4.582832e-20,6.6278253e-16,1.0692239e-14,1.7722227e-16
34,67.29474639892578,-40.52269744873047,-52.616825103759766,-100.27249908447266,59.74980163574219,47.65567398071289,8.892198425318535e+25,4.972745593294833e+20,0.9944403767585754,0.9930197596549988,0.9818769693374634,0.01256340742111206,0.0111427903175354,1,7,7,4.720754e-13,1.0,1.7424125e-12,6.6520465e-14,7.608989e-09,2.7353501e-12,6.349316e-14,2.616397e-10,8.8405655e-13,2.5953948e-12,1.11997686e-07,0.00035313165,4.0941018e-06,0.00015129801,0.006092564,2.772494e-10,3.954009e-13,0.8327152,0.00029665514,0.16038698
35,64.32148742675781,-45.64453125,-55.176727294921875,-126.60778045654297,80.96324920654297,71.4310531616211,1.4517517805453882e+35,1.0522337430073844e+31,0.9938878417015076,0.9926390647888184,0.9695423245429993,0.0243455171585083,0.023096740245819092,1,5,5,4.445945e-12,1.0,2.3698852e-13,3.5932823e-11,1.6172184e-10,2.0433861e-09,6.3332846e-12,1.8476456e-08,5.3228205e-10,6.864639e-12,1.4943678e-10,0.0010422486,1.4706429e-08,0.017766643,0.29501814,0.42852235,6.454727e-07,4.0583243e-05,0.00011397971,0.2574954
36,0.3291351795196533,-88.10130310058594,-94.35906982421875,-94.35126495361328,6.249961853027344,-0.00780487060546875,517.993064424183,0.9922255083112329,0.9857628345489502,0.9838234186172485,0.9837409257888794,0.0020219087600708008,8.249282836914062e-05,3,1,3,3.9727903e-19,1.6136369e-19,1.7749884e-14,1.0,6.688249e-23,2.1448242e-15,7.161888e-21,4.6456773e-17,8.2084094e-16,1.8323026e-19,4.0854598e-19,1.601281e-19,1.8925166e-14,1.0,6.7548115e-23,2.2078829e-15,7.4040436e-21,4.7348298e-17,8.629915e-16,1.8824567e-19
37,64.00416564941406,-40.273292541503906,-52.64633560180664,-99.80397033691406,59.530677795410156,47.15763473510742,7.14241154380097e+25,3.022042342674791e+20,0.9944702386856079,0.9929711222648621,0.9827594757080078,0.011710762977600098,0.010211646556854248,1,4,4,8.109434e-13,1.0,5.36621e-12,1.970629e-14,1.0790777e-08,7.0948564e-14,8.7314846e-14,3.4188898e-09,4.6021235e-11,2.661674e-13,1.0392089e-08,9.811157e-07,2.2937678e-09,1.7107101e-09,0.99185115,5.062338e-11,9.536443e-13,1.7209736e-07,6.7787405e-05,0.008079899
38,72.621826171875,-109.09078979492188,-113.7960433959961,-123.2181396484375,14.127349853515625,9.422096252441406,1365935.1635329232,12358.461540625995,0.9789188504219055,0.9765828251838684,0.97132807970047,0.007590770721435547,0.0052547454833984375,8,5,9,3.359255e-08,2.0680583e-15,1.6502781e-06,3.2045473e-09,1.0261306e-11,8.27393e-11,3.4805156e-12,9.6249336e-14,0.9999981,2.6450874e-07,0.003361283,1.3283128e-09,6.7129968e-06,1.04219625e-05,9.351105e-07,0.32147005,0.00013917848,3.722966e-09,0.014663171,0.6603483
39,81.754150390625,-114.59725189208984,-111.88398742675781,-123.63307189941406,9.035820007324219,11.74908447265625,8398.597506035367,126637.56576215118,0.9761718511581421,0.9770673513412476,0.9714416861534119,0.004730165004730225,0.005625665187835693,8,3,3,2.6949023e-18,1.2244584e-24,2.0912769e-13,1.0886678e-12,2.917224e-23,3.4313798e-17,4.190968e-19,3.5239792e-21,1.0,6.179199e-17,2.0721113e-17,2.2158183e-19,3.5128356e-12,0.9999887,9.41354e-23,2.843993e-13,2.9916373e-16,1.7554431e-15,1.1270607e-05,2.360323e-16
40,73.1463394165039,-89.26190948486328,-105.16738891601562,-137.62261962890625,48.36071014404297,32.455230712890625,1.0064438640987598e+21,124488033766735.7,0.9854034781455994,0.9801897406578064,0.9663993120193481,0.01900416612625122,0.013790428638458252,3,8,3,3.3370186e-23,1.0139441e-14,2.2863835e-18,1.0,1.05437656e-19,2.4359913e-08,8.580228e-21,8.1517155e-15,1.0742528e-10,9.221678e-16,1.1073404e-19,7.958691e-11,2.8473121e-11,0.987129,1.7726905e-15,6.079926e-06,2.3959658e-16,4.655749e-12,0.012864878,3.2703968e-12
41,68.99134063720703,-121.67439270019531,-115.1506118774414,-125.87726593017578,4.202873229980469,10.726654052734375,66.87821173323319,45554.01541158438,0.9700966477394104,0.9760527014732361,0.9700848460197449,1.1801719665527344e-05,0.005967855453491211,9,6,5,1.546029e-11,1.8118452e-13,7.525462e-13,6.3207546e-09,1.6857788e-08,2.7366661e-07,1.2503918e-15,1.6145785e-08,1.8336381e-11,0.99999976,2.5909728e-07,3.4520875e-10,2.2056253e-11,2.5397795e-10,2.0439733e-05,0.99476963,8.8076314e-07,2.0122814e-08,5.5885888e-08,0.0052088182
42,65.764892578125,-77.0009536743164,-90.06591796875,-110.53644561767578,33.535491943359375,20.47052764892578,366673141071734.1,776671197.0308124,0.9880788922309875,0.9852128028869629,0.9776455163955688,0.010433375835418701,0.007567286491394043,9,7,9,3.3017725e-12,1.3349319e-13,6.710594e-13,7.3544154e-10,6.9144757e-10,3.9357655e-08,5.2304933e-17,9.524862e-09,2.7093479e-11,1.0,7.781251e-09,5.824437e-11,1.2379349e-10,1.1528802e-08,1.0455436e-07,2.7640275e-05,8.709244e-15,4.3785262e-06,5.219381e-10,0.9999678
43,0.29997092485427856,-117.04955291748047,-126.16181182861328,-128.13768005371094,11.088127136230469,1.9758682250976562,65390.164500204795,7.212879338887797,0.9744311571121216,0.9692270755767822,0.9696322083473206,0.004798948764801025,-0.0004051327705383301,5,2,5,2.4680995e-18,5.945178e-24,2.7856865e-22,3.3897125e-11,3.3338174e-20,1.0,1.3963212e-19,9.244267e-21,4.495792e-14,2.2567531e-14,2.3298603e-18,5.608805e-24,2.7132784e-22,3.3714264e-11,3.1855346e-20,1.0,1.3679409e-19,9.0234774e-21,4.3284868e-14,2.1851476e-14
44,70.84503173828125,-52.378116607666016,-60.031105041503906,-128.3607940673828,75.9826774597168,68.3296890258789,9.973728479333522e+32,4.7337671779470206e+29,0.9929624199867249,0.9917261600494385,0.9684163331985474,0.02454608678817749,0.023309826850891113,1,5,6,1.1858618e-10,1.0,4.335612e-09,2.8072477e-13,2.8053667e-11,2.7657518e-12,3.1343053e-09,3.9914696e-14,1.599347e-10,6.122071e-16,7.799809e-06,0.0021080698,5.926484e-07,1.5499758e-06,3.534428e-06,0.0011532513,0.9784914,9.0092364e-11,0.018233726,6.6266517e-09
45,74.39368438720703,-86.13069152832031,-95.0671615600586,-115.1186752319336,28.98798370361328,20.051513671875,3884376910987.8706,510812764.9249916,0.9862144589424133,0.9836230874061584,0.9756578803062439,0.010556578636169434,0.00796520709991455,3,2,3,4.399345e-17,5.980348e-15,1.2040064e-13,1.0,4.6286355e-20,6.2261063e-10,4.9508443e-18,4.810562e-19,5.2920155e-14,5.3240053e-15,1.0327995e-08,6.8257083e-10,6.886993e-05,0.9999306,4.976166e-14,4.993384e-07,2.3640846e-11,3.9622338e-14,5.6262362e-08,6.1374454e-11
