original_class,target_class,original_target_class_prob,counterfactual_class,counterfactual_target_class_prob,target_class_prob_difference,original_log_likelihood,counterfactual_log_likelihood,log_likelihood_difference
8,3,1.0573556e-10,5,0.15637726,0.15637726,-80.67880249023438,-108.08089447021484,27.40209197998047
9,4,9.918788e-13,4,0.46727476,0.46727476,-80.51608276367188,-91.84557342529297,11.329490661621094
6,1,5.4757754e-20,6,5.511296e-20,3.5520299e-22,-89.77418518066406,-95.15359497070312,5.3794097900390625
2,3,5.847273e-16,2,4.7860533e-05,4.7860533e-05,-93.84253692626953,-147.9326629638672,54.090126037597656
9,8,5.3535874e-11,9,1.3323672e-07,1.3318319e-07,-92.96971130371094,-131.1142578125,38.14454650878906
3,4,1.2887827e-19,3,1.2761317e-19,-1.2650952e-21,-83.47047424316406,-89.94768524169922,6.477210998535156
2,3,4.8959808e-12,2,0.31569558,0.31569558,-104.13579559326172,-142.98606872558594,38.85027313232422
2,8,6.229254e-10,2,0.0007107487,0.0007107481,-93.2003402709961,-117.27909851074219,24.078758239746094
3,7,4.832844e-16,3,4.9283696e-16,9.552573e-18,-100.28565216064453,-111.2463607788086,10.960708618164062
6,4,3.1328911e-15,6,3.9572305e-09,3.9572274e-09,-90.93125915527344,-132.261962890625,41.33070373535156
2,9,5.445241e-19,2,5.6682924e-19,2.2305132e-20,-133.75454711914062,-131.19381713867188,-2.56072998046875
4,3,2.3639975e-25,4,2.3435078e-25,-2.0489676e-27,-74.65553283691406,-81.60476684570312,6.9492340087890625
4,6,2.777867e-21,4,2.7152472e-21,-6.2619753e-23,-68.20416259765625,-82.11409759521484,13.909934997558594
5,0,1.3773371e-23,5,1.378809e-23,1.4718567e-26,-103.6644058227539,-114.75947570800781,11.095069885253906
3,4,1.27205e-08,3,0.00080462365,0.0008046109,-115.96752166748047,-146.7101593017578,30.742637634277344
7,0,3.9773425e-25,7,3.9468422e-25,-3.050032e-27,-84.10420227050781,-89.97034454345703,5.866142272949219
3,6,4.5247778e-20,3,4.582832e-20,5.8054185e-22,-96.56546783447266,-97.2948226928711,0.7293548583984375
1,7,2.616397e-10,7,0.8327152,0.8327152,-40.52269744873047,-100.27249908447266,59.74980163574219
1,5,2.0433861e-09,5,0.42852235,0.42852235,-45.64453125,-126.60778045654297,80.96324920654297
3,1,1.6136369e-19,3,1.601281e-19,-1.2355881e-21,-88.10130310058594,-94.35126495361328,6.249961853027344
1,4,1.0790777e-08,4,0.99185115,0.99185115,-40.273292541503906,-99.80397033691406,59.530677795410156
8,5,8.27393e-11,9,0.32147005,0.32147005,-109.09078979492188,-123.2181396484375,14.127349853515625
8,3,1.0886678e-12,3,0.9999887,0.9999887,-114.59725189208984,-123.63307189941406,9.035820007324219
3,8,1.0742528e-10,3,0.012864878,0.012864878,-89.26190948486328,-137.62261962890625,48.36071014404297
9,6,1.2503918e-15,5,8.8076314e-07,8.8076314e-07,-121.67439270019531,-125.87726593017578,4.202873229980469
9,7,9.524862e-09,9,4.3785262e-06,4.3690015e-06,-77.0009536743164,-110.53644561767578,33.535491943359375
5,2,2.7856865e-22,5,2.7132784e-22,-7.240809e-24,-117.04955291748047,-128.13768005371094,11.088127136230469
1,5,2.7657518e-12,6,0.0011532513,0.0011532513,-52.378116607666016,-128.3607940673828,75.9826774597168
3,2,1.2040064e-13,3,6.886993e-05,6.886993e-05,-86.13069152832031,-115.1186752319336,28.98798370361328
3,4,2.3595322e-22,3,2.3791818e-22,1.9649579e-24,-97.90293884277344,-108.86911010742188,10.966171264648438
0,9,5.6104998e-15,0,3.9151197e-07,3.9151197e-07,-98.95267486572266,-127.26384735107422,28.311172485351562
3,9,1.7981619e-23,3,1.8309503e-23,3.2788372e-25,-113.3394546508789,-125.98078918457031,12.641334533691406
7,4,9.515146e-13,7,7.670836e-11,7.5756845e-11,-101.34069061279297,-121.48259735107422,20.14190673828125
